,Area,Bedroom,Floor,WC,Price,Date,District,City,Latitude,Longitude
0,45.0,-1,5,-1,0.0,2023-06-10 14:26:17,Long Biên,Hà Nội,105.8653592,21.0401554
1,30.0,3,4,3,3.58,2023-05-23 9:25:38,Hà Đông,Hà Nội,105.7745175,20.9698363
2,176.0,1,-1,1,37.0,2022-11-07 23:39:14,Ba Đình,Hà Nội,105.760936,20.946341
3,75.0,5,5,6,12.6,2022-09-07 5:05:15,Hoàng Mai,Hà Nội,105.849591,20.983773
4,60.0,2,-1,2,4.0,2023-05-29 16:40:39,Tân Phú,TP Hồ Chí Minh,106.7248536,10.7307078
5,32.0,-1,-1,-1,7.5,2023-05-31 12:03:06,Tây Hồ,Hà Nội,105.8218467,21.0641965
6,80.0,-1,5,-1,10.0,2023-05-05 22:54:38,Hoàng Mai,Hà Nội,105.849591,20.983773
7,44.0,2,-1,-1,4.95,2023-05-16 17:49:25,Bắc Từ Liêm,Hà Nội,105.2848986,20.5645154
8,65.0,3,2,4,42.9,2023-06-11 10:10:30,Quận 5,TP Hồ Chí Minh,106.6505485,10.7461928
9,135.0,-1,-1,-1,70.0,2023-06-11 10:18:20,Từ Sơn,Bắc Ninh,105.913377106,21.0679313375
10,135.0,-1,-1,-1,70.0,2023-06-11 10:18:20,Từ Sơn,Bắc Ninh,105.913377106,21.0679313375
11,104.0,2,1,2,10.2,2022-12-18 15:36:22,Quận 9,TP Hồ Chí Minh,106.755324,10.764192
12,62.0,-1,4,-1,6.8,2023-05-04 10:23:21,Hoàng Mai,Hà Nội,105.849591,20.983773
13,28.0,3,4,2,5.9,2023-05-11 14:48:13,Tân Bình,TP Hồ Chí Minh,106.609111636,10.7794703627
14,32.0,3,2,2,31.2,2023-06-11 10:58:46,Quận 10,TP Hồ Chí Minh,106.644554,10.756368
15,122.0,-1,4,4,20.0,2023-03-25 16:00:59,Long Biên,Hà Nội,105.8653592,21.0401554
16,35.0,2,2,3,3.88,2023-05-31 10:56:10,Bình Thạnh,TP Hồ Chí Minh,106.73444,10.75306
